Profiling result from test run Test Main V1 exported at Wed Sep 28 15:46:54 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316359282451753984;;40092;36383,20456078712;34767,51593203727;
1316359282730707968;;36896;36383,20456078712;34767,51593203727;
1316359282866978816;;36506;36383,20456078712;34767,51593203727;
1316359283126766080;;35166;36383,20456078712;34767,51593203727;
1316359283269503232;;36731;36383,20456078712;34767,51593203727;
1316359283415380992;;36437;36383,20456078712;34767,51593203727;
1316359283424803072;;36414;36383,20456078712;34767,51593203727;
1316359283570149888;;35152;36383,20456078712;34767,51593203727;
1316359283835623936;;33683;36383,20456078712;34767,51593203727;
1316359284036425216;;35179;36383,20456078712;34767,51593203727;
1316359284176605952;;35666;36383,20456078712;34767,51593203727;
1316359284415016960;;34973;36383,20456078712;34767,51593203727;
1316359284522817024;;33849;36383,20456078712;34767,51593203727;
1316359284756998144;;36450;36383,20456078712;34767,51593203727;
1316359284857417984;;36179;36383,20456078712;34767,51593203727;
1316359284863930880;;37533;36383,20456078712;34767,51593203727;
1316359284971435008;;35721;36383,20456078712;34767,51593203727;
1316359284980595968;;35368;36383,20456078712;34767,51593203727;
1316359285082688000;;34473;36383,20456078712;34767,51593203727;
1316359285182467072;;34991;36383,20456078712;34767,51593203727;
1316359285282270976;;34280;36383,20456078712;34767,51593203727;
1316359285388614912;;33270;36383,20456078712;34767,51593203727;
1316359285398576128;;32880;36383,20456078712;34767,51593203727;
1316359285501657856;;32884;36383,20456078712;34767,51593203727;
1316359285601067008;;32815;36383,20456078712;34767,51593203727;
1316359285702771968;;32940;36383,20456078712;34767,51593203727;
1316359285816958976;;33766;36383,20456078712;34767,51593203727;
1316359285924916992;;33431;36383,20456078712;34767,51593203727;
1316359286027005952;;33935;36383,20456078712;34767,51593203727;
1316359286129267968;;34046;36383,20456078712;34767,51593203727;
1316359286230992128;;33656;36383,20456078712;34767,51593203727;
1316359286337965056;;33380;36383,20456078712;34767,51593203727;
1316359286443290112;;33481;36383,20456078712;34767,51593203727;
1316359286540956928;;33481;36383,20456078712;34767,51593203727;
1316359286642947840;;33375;36383,20456078712;34767,51593203727;
1316359286747988992;;33398;36383,20456078712;34767,51593203727;
1316359286851428864;;33444;36383,20456078712;34767,51593203727;
1316359286956562944;;33581;36383,20456078712;34767,51593203727;
1316359286963782912;;33604;36383,20456078712;34767,51593203727;
1316359286970761984;;33581;36383,20456078712;34767,51593203727;
1316359287070034944;;33604;36383,20456078712;34767,51593203727;
